"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000004897,CDC27,1.9696,11.7457,2.0379,2.001,2.9738,0,45.8642,17.9805,11.9218
ENSG00000004939,SLC4A1,0,0,0,0,0,0,0,0,0
ENSG00000004948,CALCR,0,0,0,0,0,0,0,1.968,0
ENSG00000004961,HCCS,2.9859,0,11.0176,0,2.9525,0,12.2389,12.008,7.028
ENSG00000004975,DVL2,0.9793,0,2.9764,0,3.0854,0,4.0328,2.9625,2.9929
ENSG00000005001,PRSS22,0,0,0,0,0,0,0,0.3841,0
ENSG00000005007,UPF1,0,0,2.962,0,2.9234,0.9615,9.8399,5.8629,5.9249
ENSG00000005020,SKAP2,0,0,10.3602,0,0,0,20.6372,1.9587,4.8954
ENSG00000005022,SLC25A5,11.8648,4.9769,168.1229,1.9724,69.4962,2.9715,38.358,125.2686,50.4474
ENSG00000005059,MCUB,0,0,1.0039,1.0081,0.9842,1.9901,1.9768,0,1.0406
ENSG00000005073,HOXA11,0,0,0,0,0,0,16.7585,0,0
ENSG00000005075,POLR2J,2.2469,0.9707,7.7254,0,3.0811,0.9765,52.7392,18.3095,8.2572
ENSG00000005100,DHX33,0,1.019,0.9856,0,0,0,3.0113,1.9537,0.9657
ENSG00000005102,MEOX1,0,0,0,0,0,0,0,0,0
ENSG00000005108,THSD7A,0,0,0,0,0,0,7.7525,0,0
ENSG00000005156,LIG3,0,0,0,0,4.1148,0,3.898,3.2079,5.5468
ENSG00000005175,RPAP3,1.9862,1.0373,0,0,0.9859,1.0119,9.8419,4.9217,3.9079
ENSG00000005187,ACSM3,0,0,1.0296,2.0034,0,0.8948,7.0842,4.0496,6.8654
ENSG00000005189,LOC81691,0,0,1.0295,0,0,0,9.458,0.9852,0.9787
ENSG00000005194,CIAPIN1,0.9706,0.976,16.884,0,11.8494,0.9616,27.8144,18.7898,10.8834
ENSG00000005206,SPPL2B,0,0,5.0573,1.0033,1.9624,0,4.9653,0.9951,1.9835
ENSG00000005238,FAM214B,0,0,0,0,0,0,1.9666,1.9645,4.8928
ENSG00000005243,COPZ2,0,0.9672,0,0,0,0.9673,30.2121,0,0
ENSG00000005249,PRKAR2B,1.0331,0,1.0273,0,2.9243,0.9671,131.223,0,2.0045
ENSG00000005302,MSL3,3.0221,0,2.9744,0,0,1.0041,7.8895,1.0307,2.0112
ENSG00000005339,CREBBP,0,0,0,2.0266,0,0.9725,14.8502,7.9376,1.9459
ENSG00000005379,TSPOAP1,0,0.9663,0,0,0,0,0.9757,0,0
ENSG00000005381,MPO,0,0,0,0,0,0,0,0,0
ENSG00000005421,PON1,12.7896,2.8854,0.9902,1.0098,0,0,0,2.997,0
ENSG00000005436,GCFC2,1.0325,0,3.0251,0,2.9832,0,9.1353,14.0037,1.0237
ENSG00000005448,WDR54,1.9141,2.8876,3.0106,0,2.0425,1.9633,13.2275,27.2414,16.2737
ENSG00000005469,CROT,0,0,0,0,0,0,9.0917,0,2.0251
ENSG00000005471,ABCB4,0,0,0,0,1.0142,0,0,0,0
ENSG00000005483,KMT2E,2.0521,3.0093,27.789,1.9935,4.9914,5.0422,85.6089,29.9741,34.7072
ENSG00000005486,RHBDD2,1.947,0.9337,37.0067,0,7.9275,0.9712,112.4744,15.9105,9.9453
ENSG00000005513,SOX8,0,0,0,0,0,0,0.9801,0,0
ENSG00000005700,IBTK,0.5115,0.9887,3.453,0.5048,0.972,1.5236,15.5954,5.3703,0.4842
ENSG00000005801,ZNF195,1.0209,0,8.972,1.0115,6.8827,0,17.0202,14.8528,3.9439
ENSG00000005810,MYCBP2,0,0,0,0,2.0622,0,11.8846,1.9749,0.9713
ENSG00000005812,FBXL3,1.0317,0.9838,3.9514,0,2.9272,0,16.6563,3.9224,11.7295
ENSG00000005844,ITGAL,0,0,0,0,0,0,0,0,0
ENSG00000005882,PDK2,0,0,22.0522,0,0.983,0.7361,26.6957,2.9823,1.0366
ENSG00000005884,ITGA3,0,0.9334,1.0166,0,0,0,2.0987,1.9555,0.9746
ENSG00000005889,ZFX,0.9523,0,0,0,0.9783,0.967,8.8722,1.9655,2.9061
ENSG00000005893,LAMP2,1.0114,2.0312,70.5091,0,11.9773,0.9832,214.6681,89.1891,48.9794
ENSG00000005961,ITGA2B,0,0,0,0,0,0,0.9787,0,0
ENSG00000005981,ASB4,0,2.0704,0.9873,1.0007,0,0,0,2.0622,0
ENSG00000006007,GDE1,1.0185,1.0219,58.4711,0.9843,8.8066,2.0257,49.1812,46.9168,33.5207
ENSG00000006015,C19orf60,1.968,0,14.2195,3.0278,7.122,1.0839,16.4301,7.0625,1.0384
ENSG00000006016,CRLF1,0,0,0,0,29.7421,0,38.1113,0.9914,0
ENSG00000006025,OSBPL7,0,1.0327,0,0,0,0,1.0435,0,6.8355
ENSG00000006042,TMEM98,1.9576,1.9699,71.9083,0,15.8235,1.0049,105.021,35.1198,9.8833
ENSG00000006047,YBX2,0,0,0,0,0,0,0,0,0
ENSG00000006059,KRT33A,0,0,0,0,0,0,0,0,0
ENSG00000006062,MAP3K14,0,1.0314,1.9948,0,0,0,2.0004,0,0
ENSG00000006071,ABCC8,0.9585,0,0,0,0,0,0,0,0
ENSG00000006116,CACNG3,0,0,0,0,0,0,0,0,0
ENSG00000006118,TMEM132A,0,1.0359,0,0,0,0,8.8066,4.0013,0
